,S,B,C,L
2019-05-13,0.3714955241846445,1.2908782116155537e-18,0.15048263594111502,0.4780218398742405
2019-05-14,0.3092753653083116,8.809142651444724e-19,0.19441962752386513,0.4963050071678233
2019-05-15,0.30054480916549087,1.5249981182366423e-17,0.19263866788208076,0.5068165229524284
2019-05-16,0.31033198852787347,8.741145388758426e-18,0.17798426048586571,0.5116837509862608
2019-05-17,0.3106309650848638,0.0,0.17870134329981424,0.510667691615322
2019-05-20,0.31098326713852664,0.0,0.17301067810056986,0.5160060547609036
2019-05-21,0.29551661074439034,0.0,0.19456092976915532,0.5099224594864543
2019-05-22,0.2987038619845519,1.9027748127120603e-17,0.1934833905624279,0.5078127474530203
2019-05-23,0.28520559721914424,0.0,0.2046768603203237,0.5101175424605321
2019-05-24,0.27809810982949573,0.0,0.20385593694937337,0.5180459532211309
2019-05-28,0.27750071074870714,0.0,0.1950362696521536,0.5274630195991393
2019-05-29,0.29674091077858233,0.0,0.1732669978831771,0.5299920913382405
2019-05-30,0.2956442226314955,0.0,0.17387283618663435,0.5304829411818702
2019-05-31,0.2848241494323743,0.0,0.19084733883524924,0.5243285117323766
2019-06-03,0.25595814596340133,2.125120961366314e-17,0.20379326153935465,0.540248592497244
2019-06-04,0.26883115241775013,1.401746354081669e-17,0.19285017147828218,0.5383186761039678
2019-06-05,0.26334296595899825,2.5228939298118832e-17,0.1940869374788629,0.5425700965621388
2019-06-06,0.2979258682433679,0.0,0.16116449418554574,0.5409096375710863
2019-06-07,0.31204091297497105,8.822695178600792e-18,0.14283890180969303,0.545120185215336
2019-06-10,0.30295447104167256,6.8745459037212635e-18,0.15226545757344145,0.544780071384886
2019-06-11,0.3173528782322273,9.743274408478407e-18,0.14357844264620725,0.5390686791215654
2019-06-12,0.31858524030395824,0.0,0.1432528463980552,0.5381619132979866
2019-06-13,0.31494970906890546,0.0,0.13520585873660723,0.5498444321944873
2019-06-14,0.31983466404905436,0.0,0.12757387275597593,0.5525914631949698
2019-06-17,0.31710875764957464,0.0,0.12188353457055165,0.5610077077798737
2019-06-18,0.3170587531470366,0.0,0.12190270678136397,0.5610385400715995
